0.00 ,h
0.47 ,l
0.94 ,h
1.41 ,l
1.88 ,h
2.34 ,l
2.81 ,l
3.28 ,l
3.75 ,h
4.22 ,l
4.69 ,h
5.16 ,l
5.63 ,h
6.09 ,l
6.56 ,h
7.03 ,l
7.50 ,h
7.97 ,l
8.44 ,l
8.91 ,l
9.38 ,h
9.84 ,l
10.31 ,h
10.78 ,l
11.25 ,h
11.72 ,l
12.19 ,l
12.66 ,l
13.13 ,h
13.59 ,l
14.06 ,h
14.53 ,l
15.00 ,h
15.47 ,l
15.94 ,l
16.41 ,l
16.88 ,h
17.34 ,l
17.81 ,h
18.28 ,l
18.75 ,h
19.22 ,l
19.69 ,l
20.16 ,l
20.63 ,h
21.09 ,l
21.56 ,h
22.03 ,l
22.50 ,h
22.97 ,l
23.44 ,l
23.91 ,l
24.38 ,h
24.84 ,l
25.31 ,h
25.78 ,l
26.25 ,h
26.72 ,l
27.19 ,l
27.66 ,l
28.13 ,h
28.59 ,l
29.06 ,h
29.53 ,l
30.00 ,h
30.47 ,l
30.94 ,l
31.41 ,l
31.88 ,h
32.34 ,l
32.81 ,h
33.28 ,l
33.75 ,h
34.22 ,l
34.69 ,l
35.16 ,l
35.63 ,h
36.09 ,l
36.56 ,h
37.03 ,l
37.50 ,h
37.97 ,l
38.44 ,l
38.91 ,l
39.38 ,h
39.84 ,l
40.31 ,h
40.78 ,l
41.25 ,h
41.72 ,l
42.19 ,l
42.66 ,l
43.13 ,h
43.59 ,l
44.06 ,h
44.53 ,l
45.00 ,h
45.47 ,l
45.94 ,l
46.41 ,l
46.88 ,h
47.34 ,l
47.81 ,h
48.28 ,l
48.75 ,h
49.22 ,l
49.69 ,l
50.16 ,l
50.63 ,h
51.09 ,l
51.56 ,h
52.03 ,l
52.50 ,h
52.97 ,l
53.44 ,l
53.91 ,l
54.38 ,h
54.84 ,l
55.31 ,h
55.78 ,l
